archivo;titulo;actual;estado;nuevo_modulo;nuevo_submodulo;nuevo_subtopic;motivo
gestion-de-personal/1-3-delegacion-de-administradores.md;Delegación de administradores;Gestión de personal > Usuarios y perfiles;MAPEADO;Configuración de Equipos;Privacidad;;administrador/administrar/ajustes/privacidad
gestion-de-personal/1-3-opciones-por-trabajador.md;Opciones por trabajador;Gestión de personal > Usuarios y perfiles;MAPEADO;Control horario;Diario;;control-horario/control-de-presencia-administrador/diario-administrador
gestion-de-personal/1-4-medidas.md;Medidas en aTurnos;Gestión de personal > Contratos;MAPEADO;Gestión de RR.HH.;Gestión de personal (Maestro de empleado);;rrhh/rrhh-estructura/medidas-rrhh
gestion-de-personal/1-4-mis-equipos.md;Mis equipos;Gestión de personal > Usuarios y perfiles;MAPEADO;Planificación Avanzada/Automática;Tabla de cobertura;;administrador/cuadrante/cuadrante-cuadrante/tabla-de-cobertura
gestion-de-personal/1-5-nivel-que-puede-cambiar-la-fecha-de-cierre-de-un-empleado.md;Nivel que puede cambiar la fecha de cierre de un empleado;Gestión de personal > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/1-configuracion-general-exportacion-nominas
gestion-de-personal/1-acceso-aturnos.md;Acceso aTurnos;Gestión de personal > Usuarios y perfiles;MAPEADO;Tareas;Tareas;;modulo-de-tareas/5-acceso-a-aturnos  (⚠ varias categorías: revisar)
gestion-de-personal/1-como-acceder-aturnos.md;Cómo acceder aTurnos;Gestión de personal > Usuarios y perfiles;MAPEADO;Tareas;Tareas;;modulo-de-tareas/administrador-jobs
gestion-de-personal/1-configuracion-de-convenios.md;Configuración de convenios;Gestión de personal > Contratos;MAPEADO;Planificación Avanzada/Automática;Asistente de planificación automática;;planificacion-automatica
gestion-de-personal/1-configuracion-reportes-rrhh.md;Configuración Reportes RRHH;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Reportes de varios equipos;;rrhh/estadisticas-rrhh/f-configuracion-reportes-rrhh
gestion-de-personal/1-horas-en-los-equipos.md;Horas en los equipos;Gestión de personal > General;MAPEADO;Gestión de RR.HH.;Reportes de varios equipos;;rrhh/estadisticas-rrhh/d-horas-en-los-equipos
gestion-de-personal/1-importar-trabajadores-y-o-planificacion-altas-perfil-y-planificacion.md;Importar trabajadores y/o planificación: altas, perfil y planificación;Gestión de personal > Contratos;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
gestion-de-personal/1-perfil-de-usuario.md;Perfil de usuario;Gestión de personal > Usuarios y perfiles;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador/1-general-perfil-del-trabajador
gestion-de-personal/1-planificadas-vs-presenciales.md;Planificadas VS Presenciales;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/1-planificadas-vs-presenciales
gestion-de-personal/1-reporte-detalles-trabajador.md;Reporte detalles trabajador;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Reportes de varios equipos;;rrhh/estadisticas-rrhh/e-reporte-detalles-trabajador
gestion-de-personal/1-reportes-por-trabajador.md;Reportes por trabajador;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Reportes de varios equipos;;rrhh/estadisticas-rrhh/b-reportes-por-trabajador
gestion-de-personal/1-ver-perfil.md;Ver perfil;Gestión de personal > Usuarios y perfiles;MAPEADO;Planificación;Cuadrantes;Cuadrante;administrador/cuadrante/cuadrante-cuadrante/menu-trabajador
gestion-de-personal/10-3-cierre-por-empleado-fecha-de-validacion-y-ultimo-dia-exportado-por-trabajador.md;Cierre por empleado, fecha de validación y último día exportado (por trabajador);Gestión de personal > Altas y bajas;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/10-funciones-de-rrhh
gestion-de-personal/10-6-estadistica-diaria-de-todos-los-equipos.md;Estadística diaria de todos los equipos;Gestión de personal > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/10-funciones-de-rrhh
gestion-de-personal/10-hrs-fichadas-superior-a-hrs-contrato-dia.md;Hrs fichadas superior a Hrs contrato día;Gestión de personal > Contratos;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
gestion-de-personal/10-importar-posiciones.md;Importar posiciones;Gestión de personal > General;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
gestion-de-personal/10-tooltip-flotante.md;Tooltip flotante;Gestión de personal > Contratos;MAPEADO;Planificación;Cuadrantes;Cuadrante;administrador/cuadrante/cuadrante-cuadrante/menu-trabajador
gestion-de-personal/11-1-clonar-datos.md;Clonar datos;Gestión de personal > General;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/11-herramientas-de-consultor
gestion-de-personal/11-dispositivos.md;Dispositivos;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/11-dispositivos-rrhh
gestion-de-personal/11-horas-en-los-equipos.md;Horas en los equipos;Gestión de personal > Contratos;MAPEADO;Planificación;Cuadrantes;Cuadrante;administrador/cuadrante/cuadrante-cuadrante/menu-trabajador
gestion-de-personal/11-importar-balance-de-ajustes.md;Importar balance de ajustes;Gestión de personal > Contratos;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
gestion-de-personal/14-alertas-por-trabajador.md;Alertas por trabajador;Gestión de personal > Altas y bajas;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
gestion-de-personal/2-2-conceptos-que-operan-entre-conceptos.md;Conceptos que operan entre conceptos;Gestión de personal > Altas y bajas;MAPEADO;Nóminas;Conceptos de nóminas;;administrador/administrar/exportacion-nominas/conceptos-de-nomina/2-2-conceptos-que-operan-entre-conceptos
gestion-de-personal/2-3-datos-personalizados.md;Datos Personalizados;Gestión de personal > General;MAPEADO;Gestión de RR.HH.;Registros;;rrhh/rrhh-registros
gestion-de-personal/2-4-datos-personalizados-por-trabajador.md;Datos personalizados por trabajador;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Registros;;rrhh/rrhh-registros
gestion-de-personal/2-5-posiciones.md;Posiciones;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Registros;;rrhh/rrhh-registros
gestion-de-personal/2-7-listado-de-festivos.md;Listado de festivos;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Registros;;rrhh/rrhh-registros
gestion-de-personal/2-8-exportar-cuadrante-anual.md;Exportar cuadrante anual;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Registros;;rrhh/rrhh-registros
gestion-de-personal/2-basica.md;Básica en aTurnos;Gestión de personal > Usuarios y perfiles;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador/1-general-perfil-del-trabajador
gestion-de-personal/2-especialidades-del-trabajador.md;Especialidades del trabajador;Gestión de personal > Usuarios y perfiles;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador
gestion-de-personal/2-estadisticas.md;Estadísticas;Gestión de personal > Usuarios y perfiles;MAPEADO;Tareas;Tareas;;modulo-de-tareas/administrador-jobs
gestion-de-personal/2-que-es-un-puesto.md;¿Qué es un puesto?;Gestión de personal > Altas y bajas;MAPEADO;Tareas;Tareas;;modulo-de-tareas/validador-retail
gestion-de-personal/26-importar-datos-personalizados.md;Importar datos personalizados;Gestión de personal > Contratos;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
gestion-de-personal/3-categoria-contrato.md;Categoría & Contrato;Gestión de personal > Contratos;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador/1-general-perfil-del-trabajador
gestion-de-personal/3-comentarios.md;Comentarios;Gestión de personal > Usuarios y perfiles;MAPEADO;Planificación;Cuadrantes;Cuadrante;administrador/cuadrante/cuadrante-cuadrante/menu-de-la-operativa-de-turno
gestion-de-personal/3-datos-personalizados-del-trabajador.md;Datos personalizados del trabajador;Gestión de personal > Altas y bajas;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador
gestion-de-personal/3-importar-horas-al-trabajador-normales-extra-y-complementarias.md;Importar horas al trabajador (normales, extra y complementarias);Gestión de personal > Altas y bajas;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
gestion-de-personal/3-informe.md;Informe en aTurnos;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/3-informe-ch
gestion-de-personal/4-1-acciones.md;Acciones;Gestión de personal > Usuarios y perfiles;MAPEADO;Registros;De acciones;;administrador/registro/acciones
gestion-de-personal/4-1-log-de-equipos.md;Log de equipos;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Logs, API y ejecuciones pendientes;;rrhh/logs-rrhh
gestion-de-personal/4-10-planificadas-vs-trabajadas.md;Planificadas vs Trabajadas;Gestión de personal > Usuarios y perfiles;MAPEADO;Control horario;Informes del control horario;;control-horario/control-de-presencia-administrador/estadisticas-control-de-presencia
gestion-de-personal/4-3-festivos-nocturnidad.md;Festivos & Nocturnidad;Gestión de personal > Altas y bajas;MAPEADO;Reportes estadísticos;Por defecto;;trabajador/4-estadisticas
gestion-de-personal/4-5-detalle-diario.md;Detalle diario;Gestión de personal > Usuarios y perfiles;MAPEADO;Control horario;Informes del control horario;;control-horario/control-de-presencia-administrador/estadisticas-control-de-presencia
gestion-de-personal/4-6-cambios-a-deber.md;Cambios a deber;Gestión de personal > Altas y bajas;MAPEADO;Registros;Cambios de turnos a deber;;administrador/registro/cambios-a-deber
gestion-de-personal/4-9-alertas-por-trabajador.md;Alertas por trabajador;Gestión de personal > Usuarios y perfiles;MAPEADO;Control horario;Informes del control horario;;control-horario/control-de-presencia-administrador/estadisticas-control-de-presencia
gestion-de-personal/4-estadisticas.md;Estadísticas;Gestión de personal > Usuarios y perfiles;MAPEADO;Tareas;Tareas;;modulo-de-tareas/8-estadisticas  (⚠ varias categorías: revisar)
gestion-de-personal/4-menos-de-4-hrs-fichadas-en-un-dia.md;Menos de 4 Hrs fichadas en un día;Gestión de personal > Altas y bajas;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
gestion-de-personal/5-10-dispositivos.md;Dispositivos;Gestión de personal > Usuarios y perfiles;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
gestion-de-personal/5-4-configuracion-alertas.md;Configuración Alertas;Gestión de personal > Usuarios y perfiles;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
gestion-de-personal/5-7-visualizacion-de-detalle.md;Visualización de Detalle;Gestión de personal > Usuarios y perfiles;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
gestion-de-personal/5-estado-del-acumulado-del-empleado.md;Estado del acumulado del empleado;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/5-estado-del-acumulado-ch
gestion-de-personal/5-limites-superiores-de-horas-de-los-empleados.md;Límites superiores de horas de los empleados;Gestión de personal > Contratos;MAPEADO;Planificación;Restricciones;;administrador/planificador/restricciones
gestion-de-personal/6-1-reportes-de-trabajadores.md;Reportes de trabajadores;Gestión de personal > Usuarios y perfiles;MAPEADO;Reportes estadísticos;Por defecto;;administrador/estadisticas
gestion-de-personal/6-3-cierre-por-empleado.md;Cierre por empleado;Gestión de personal > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;rrhh/nominas-rrhh
gestion-de-personal/6-5-estadistica-por-periodos-de-todos-los-equipos.md;Estadística por periodos de todos los equipos;Gestión de personal > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;rrhh/nominas-rrhh
gestion-de-personal/6-6-estadistica-diaria-de-todos-los-equipos.md;Estadística diaria de todos los equipos;Gestión de personal > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;rrhh/nominas-rrhh
gestion-de-personal/6-7-totalizada-por-equipo.md;Totalizada por equipo;Gestión de personal > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;rrhh/nominas-rrhh
gestion-de-personal/6-limites-inferiores-de-horas-de-los-empleados.md;Límites inferiores de horas de los empleados;Gestión de personal > Contratos;MAPEADO;Planificación;Restricciones;;administrador/planificador/restricciones
gestion-de-personal/6-sustituciones.md;Sustituciones;Gestión de personal > Usuarios y perfiles;MAPEADO;Planificación;Cuadrantes;Cuadrante;administrador/cuadrante/cuadrante-cuadrante/menu-trabajador
gestion-de-personal/7-1-clonacion-de-datos.md;Clonación de datos;Gestión de personal > Datos laborales;MAPEADO;Gestión de RR.HH.;Acciones y modificaciones de datos en bloque;;rrhh/acciones-rrhh
gestion-de-personal/7-1-estadistica-diaria.md;Estadística diaria;Gestión de personal > Usuarios y perfiles;MAPEADO;Nóminas;Estadísticas por días de varios equipos;;administrador/administrar/exportacion-nominas/estadistica-diaria
gestion-de-personal/7-10-resetear-contrasena-trabajadores-anonimos.md;Resetear contraseña trabajadores anónimos;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/resetear-contrasenas-trabajadores-anonimos [administrador/administrar/resetear-contrasenas-trabajadores-anonimos]
gestion-de-personal/7-2-fusionar-usuarios.md;Fusionar usuarios;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Acciones y modificaciones de datos en bloque;;rrhh/acciones-rrhh
gestion-de-personal/7-3-estado-de-los-permisos.md;Estado de los permisos;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Acciones y modificaciones de datos en bloque;;rrhh/acciones-rrhh
gestion-de-personal/7-4-calendarios.md;Calendarios;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/7-4-calendarios [administrador/administrar/7-4-calendarios]
gestion-de-personal/7-4-perfil-del-trabajador.md;Perfil del trabajador;Gestión de personal > Usuarios y perfiles;MAPEADO;Trabajadores;Datos del trabajador;Perfiles;administrador/administrar/perfil-del-trabajador
gestion-de-personal/7-9-activar-usuarios.md;Activar usuarios;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/activar-usuarios [administrador/administrar/activar-usuarios]
gestion-de-personal/7-analisis-semanal.md;Análisis semanal;Gestión de personal > Contratos;MAPEADO;Planificación Avanzada/Automática;Asistente de planificación automática;;planificacion-automatica
gestion-de-personal/7-menos-de-8-hrs-fichadas-semanales.md;Menos de 8 Hrs fichadas semanales;Gestión de personal > Altas y bajas;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
gestion-de-personal/8-1-ejemplos-practicos.md;Ejemplos Prácticos;Gestión de personal > Contratos;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/8-ejemplo
gestion-de-personal/a-anadir-trabajador.md;Añadir trabajador;Gestión de personal > Contratos;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/anadir-un-nuevo-trabajador
gestion-de-personal/a-datos-personalizados.md;Datos personalizados;Gestión de personal > Usuarios y perfiles;MAPEADO;Trabajadores;Datos del trabajador;Datos personalizados;administrador/trabajadores/datos-del-trabajador
gestion-de-personal/a-editar-mover-trabajadores-del-equipo.md;Editar/Mover trabajadores del equipo;Gestión de personal > Contratos;MAPEADO;Gestión de RR.HH.;Gestión de personal (Maestro de empleado);;rrhh/rrhh-estructura/maestro-de-empleados
gestion-de-personal/anadir-comentarios.md;Añadir comentarios;Gestión de personal > Altas y bajas;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/administrador-app]
gestion-de-personal/asignar-botones-en-rpi.md;Asignar botones en RPI;Gestión de personal > Usuarios y perfiles;MAPEADO;Tareas;Tareas;;modulo-de-tareas/fila-unica
gestion-de-personal/b-acceder-al-perfil-del-trabajador.md;Acceder al perfil del trabajador;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Gestión de personal (Maestro de empleado);;rrhh/rrhh-estructura/maestro-de-empleados
gestion-de-personal/b-especialidades.md;Especialidades;Gestión de personal > Vacaciones y ausencias;MAPEADO;Trabajadores;Datos del trabajador;Especialidades;administrador/trabajadores/datos-del-trabajador
gestion-de-personal/c-anadir-trabajadores-a-mas-equipos.md;Añadir trabajadores a más equipos;Gestión de personal > Contratos;MAPEADO;Gestión de RR.HH.;Gestión de personal (Maestro de empleado);;rrhh/rrhh-estructura/maestro-de-empleados
gestion-de-personal/c-categoria.md;Categoría;Gestión de personal > Contratos;MAPEADO;Trabajadores;Datos del trabajador;Categorías;administrador/trabajadores/datos-del-trabajador
gestion-de-personal/c-dar-de-baja-un-trabajador.md;Dar de baja un trabajador;Gestión de personal > Contratos;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/dar-de-baja-un-trabajador
gestion-de-personal/c-periodos-de-absentismo.md;Periodos de absentismo;Gestión de personal > Usuarios y perfiles;MAPEADO;Registros;De Absentismos;;administrador/registro/absentismos
gestion-de-personal/como-acceder-desde-la-app-de-aturnos.md;¿Cómo acceder desde la APP de aTurnos?;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/preguntas-frecuentes]
gestion-de-personal/conceptos-tipo-5-conceptos-asociados-a-las-horas-personalizadas.md;Conceptos tipo 5.: Conceptos asociados a las horas personalizadas;Gestión de personal > Altas y bajas;MAPEADO;Nóminas;Conceptos de nóminas;;administrador/administrar/exportacion-nominas/conceptos-de-nomina/conceptos-comunes-de-nomina
gestion-de-personal/conceptos-tipo-6-conceptos-asociados-a-los-datos-personalizados.md;Conceptos tipo 6: Conceptos asociados a los datos personalizados;Gestión de personal > Usuarios y perfiles;MAPEADO;Nóminas;Conceptos de nóminas;;administrador/administrar/exportacion-nominas/conceptos-de-nomina/conceptos-comunes-de-nomina
gestion-de-personal/conceptos-tipo-7-conceptos-asociados-al-perfil-del-trabajador.md;Conceptos tipo 7: Conceptos asociados al perfil del trabajador;Gestión de personal > Contratos;MAPEADO;Nóminas;Conceptos de nóminas;;administrador/administrar/exportacion-nominas/conceptos-de-nomina/conceptos-comunes-de-nomina
gestion-de-personal/d-barra-superior.md;Barra superior;Gestión de personal > Usuarios y perfiles;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/barra-superior
gestion-de-personal/d-historico.md;Histórico;Gestión de personal > Usuarios y perfiles;MAPEADO;Trabajadores;Sustituciones;;administrador/trabajadores/sustituciones
gestion-de-personal/d-horas-dia-semana.md;Horas/día semana;Gestión de personal > Altas y bajas;MAPEADO;Reportes estadísticos;Por defecto;;administrador/estadisticas/estadisticas-por-defecto
gestion-de-personal/d-perfiles.md;Perfiles;Gestión de personal > Usuarios y perfiles;MAPEADO;Trabajadores;Datos del trabajador;Perfiles;administrador/trabajadores/datos-del-trabajador
gestion-de-personal/d-tipos-de-horas.md;Tipos de horas;Gestión de personal > Contratos;MAPEADO;Planificación;Tipos de turnos, tipos de horas y Patrones;Tipos de turno;administrador/planificador/tipos-de-turno
gestion-de-personal/d-ver-periodos-y-eliminar-trabajador.md;Ver periodos y eliminar trabajador;Gestión de personal > Contratos;MAPEADO;Gestión de RR.HH.;Gestión de personal (Maestro de empleado);;rrhh/rrhh-estructura/maestro-de-empleados
gestion-de-personal/estadisticas.md;Estadisticas;Gestión de personal > Altas y bajas;MAPEADO;Tareas;Tareas;;modulo-de-tareas/9-rrhh  (⚠ varias categorías: revisar)
gestion-de-personal/f-variables-del-listado-de-trabajadores.md;Variables del listado de trabajadores;Gestión de personal > Contratos;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/variables-de-trabajador
gestion-de-personal/f-visualizacion.md;Visualización;Gestión de personal > Contratos;MAPEADO;Configuración de Equipos;Visualización;;administrador/administrar/ajustes/visualizacion
gestion-de-personal/gestion-de-proyectos.md;Gestión de Proyectos;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
gestion-de-personal/guia-de-usuario.md;Guía de usuario;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
gestion-de-personal/inicio.md;Inicio en aTurnos;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/inicio-app]
gestion-de-personal/lanzar-ofertas.md;Lanzar ofertas;Gestión de personal > Altas y bajas;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/administrador-app]
gestion-de-personal/listado-de-trabajadores.md;Listado de trabajadores;Gestión de personal > Roles y permisos;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/7-trabajadores]
gestion-de-personal/mensajes-in-app.md;Mensajes in-APP;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/administrador-app]
gestion-de-personal/menu-del-trabajador.md;Menu del trabajador;Gestión de personal > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
gestion-de-personal/migrar-saldos-del-acumulado-del-estado-de-horas.md;Migrar saldos del Acumulado del Estado de Horas;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/10-timecard
gestion-de-personal/perfil-del-trabajador-app.md;Perfil del Trabajador (APP);Gestión de personal > Contratos;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/8-perfil-del-trabajador]
gestion-de-personal/preguntas-frecuentes-administradores.md;Preguntas frecuentes Administradores;Gestión de personal > Contratos;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
gestion-de-personal/preguntas-frecuentes-del-trabajador.md;Preguntas frecuentes del Trabajador;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
gestion-de-personal/preguntas-frecuentes-mediamarkt.md;Preguntas frecuentes Mediamarkt;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
gestion-de-personal/rrhh.md;Rrhh en aTurnos;Gestión de personal > Altas y bajas;MAPEADO;Tareas;Tareas;;modulo-de-tareas/administrador-jobs
gestion-de-personal/transporte-y-reparto.md;Transporte y Reparto;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
gestion-de-personal/widgets.md;Widgets en aTurnos;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/administrador-app]
integraciones-y-api/15-importar-relacion-ids-external.md;Importar relación Ids External;Integraciones y API > General;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
integraciones-y-api/7-4-relacion-ids-external.md;Relación Ids. External;Integraciones y API > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Acciones y modificaciones de datos en bloque;;rrhh/acciones-rrhh
integraciones-y-api/integracion-con-personio.md;Integración con Personio;Integraciones y API > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
integraciones-y-api/j-modulos.md;Módulos en aTurnos;Integraciones y API > General;MAPEADO;Configuración de Equipos;Módulos;;administrador/administrar/ajustes/j-modulos
peticiones-y-cambios/1-hacer-cambio-de-turno.md;Hacer Cambio de Turno;Peticiones y cambios > Roles y permisos;MAPEADO;Planificación;Cuadrantes;Cuadrante;administrador/cuadrante/cuadrante-cuadrante/menu-de-la-operativa-de-turno
peticiones-y-cambios/10-peticiones.md;Peticiones;Peticiones y cambios > Vacaciones y ausencias;MAPEADO;Planificación;Cuadrantes;Cuadrante;administrador/cuadrante/cuadrante-cuadrante/menu-de-la-operativa-de-turno
peticiones-y-cambios/2-1-nueva-peticion.md;Nueva petición;Peticiones y cambios > General;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/2-peticiones-y-cambios]
peticiones-y-cambios/2-2-cambio-de-turno.md;Cambio de turno;Peticiones y cambios > General;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/2-peticiones-y-cambios]
peticiones-y-cambios/2-3-oferta-de-turno.md;Oferta de turno;Peticiones y cambios > Vacaciones y ausencias;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/2-peticiones-y-cambios]
peticiones-y-cambios/2-3-peticiones-y-cambios.md;Peticiones y cambios;Peticiones y cambios > Vacaciones y ausencias;MAPEADO;Planificación;Cambios de turnos;;trabajador/2-cuadrante/2-3-peticiones-y-cambios
peticiones-y-cambios/2-4-historial-de-peticiones.md;Historial de peticiones;Peticiones y cambios > Altas y bajas;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/2-peticiones-y-cambios]
peticiones-y-cambios/2-5-historial-de-cambios.md;Historial de cambios;Peticiones y cambios > General;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/2-peticiones-y-cambios]
peticiones-y-cambios/2-6-peticiones-pendientes.md;Peticiones pendientes;Peticiones y cambios > General;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/2-peticiones-y-cambios]
peticiones-y-cambios/2-7-cambios-pendientes.md;Cambios pendientes;Peticiones y cambios > Altas y bajas;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/2-peticiones-y-cambios]
peticiones-y-cambios/2-8-crear-nueva-oferta.md;Crear nueva oferta;Peticiones y cambios > General;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/2-peticiones-y-cambios]
peticiones-y-cambios/2-9-listado-de-peticiones-pendientes.md;Listado de peticiones pendientes;Peticiones y cambios > General;MAPEADO;Gestión de RR.HH.;Registros;;rrhh/rrhh-registros
